Zone B Data, Big Bean Field
8
X m                              meters east of origin
Y m                              meters north of origin
Thk m                            zone thickness
Por %                            porosity in percent
Perm md                          permeability in milliDarcies
LogPerm -                        base 10 log of permeability
900 5100 31.4755 14.8357 3.0458 0.4837 0.3132 0.1705
12900 12900 39.0248 14.7492 -999.9999 -999.9999 -999.9999 -999.9999
15300 9300 38.0644 14.7202 2.0197 0.3053 0.2874 0.0179
7300 6900 31.2622 15.9992 -999.9999 -999.9999 -999.9999 -999.9999
16300 12500 38.1545 13.7741 -999.9999 -999.9999 -999.9999 -999.9999
100 8900 31.9871 13.1248 -999.9999 -999.9999 -999.9999 -999.9999
1700 11700 29.8949 14.1906 -999.9999 -999.9999 -999.9999 -999.9999
17500 11100 40.5001 12.6465 -999.9999 -999.9999 -999.9999 -999.9999
14900 8300 39.2964 15.2854 0.9963 -0.0016 0.4135 -0.4151
8300 10900 34.7179 13.4687 -999.9999 -999.9999 -999.9999 -999.9999
4100 14500 27.7983 14.1511 -999.9999 -999.9999 -999.9999 -999.9999
11100 15300 35.3466 16.673 9.2521 0.9662 0.7231 0.2432
500 4900 31.7626 15.4612 -999.9999 -999.9999 -999.9999 -999.9999
13100 1500 36.7495 14.2049 1.6343 0.2133 0.1725 0.0409
18900 1700 41.9553 14.5276 1.686 0.2269 0.2445 -0.0176
3500 7500 37.0727 13.958 1.7514 0.2434 0.1174 0.126
3700 6900 37.313 13.2041 -999.9999 -999.9999 -999.9999 -999.9999
14500 13300 38.5234 15.0089 2.4693 0.3926 0.3518 0.0407
4900 9100 36.8062 14.5017 -999.9999 -999.9999 -999.9999 -999.9999
9700 5700 33.2559 15.0543 1.2109 0.0831 0.362 -0.2788
